title,author,description,available
The Enchanted Forest,J.K. Rowling,A magical journey through an enchanted forest where anything is possible.,TRUE
Mystery of the Old Mansion,Agatha Christie,A detective story set in a mysterious old mansion.,TRUE
The Last Voyage,Ernest Hemingway,A thrilling tale of a sailor's last voyage across the Atlantic.,TRUE
Whispers of the Past,Stephen King,A horror novel about ghosts haunting a small town.,TRUE
The Secret Garden,Frances Hodgson Burnett,A classic story of a hidden garden and the secrets it holds.,TRUE
Journey to the Center of the Earth,Jules Verne,An adventure to the center of the Earth.,TRUE
The Great Gatsby,F. Scott Fitzgerald,A story about the jazz age in the United States.,TRUE
War and Peace,Leo Tolstoy,A historical novel set during the Napoleonic wars.,TRUE
To Kill a Mockingbird,Harper Lee,A novel about racial injustice in the American South.,TRUE
1984,George Orwell,A dystopian novel about a totalitarian regime.,TRUE
Pride and Prejudice,Jane Austen,A classic romance novel.,TRUE
The Catcher in the Rye,J.D. Salinger,A story about a young man's journey through New York City.,TRUE
Moby Dick,Herman Melville,A tale of a man's obsession with a great white whale.,TRUE
The Odyssey,Homer,An epic poem about the journey of Odysseus.,TRUE
Brave New World,Aldous Huxley,A dystopian novel set in a future society.,TRUE
The Iliad,Homer,An epic poem about the Trojan War.,TRUE
Crime and Punishment,Fyodor Dostoevsky,A psychological novel about crime and guilt.,TRUE
The Brothers Karamazov,Fyodor Dostoevsky,A story about the moral struggles of three brothers.,TRUE
Jane Eyre,Charlotte Brontë,A novel about a young woman's journey to independence.,TRUE
Wuthering Heights,Emily Brontë,A tale of love and revenge on the Yorkshire moors.,TRUE
The Hobbit,J.R.R. Tolkien,A fantasy novel about a hobbit's adventure.,TRUE
The Lord of the Rings,J.R.R. Tolkien,An epic fantasy trilogy.,TRUE
Harry Potter and the Sorcerer's Stone,J.K. Rowling,The first book in the Harry Potter series.,TRUE
The Chronicles of Narnia,C.S. Lewis,A series of fantasy novels for children.,TRUE
The Hunger Games,Suzanne Collins,A dystopian novel set in a future world.,TRUE
The Maze Runner,James Dashner,A novel about a group of teenagers trapped in a maze.,TRUE
Divergent,Veronica Roth,A dystopian novel set in a future society.,TRUE
Ender's Game,Orson Scott Card,A science fiction novel about a young boy trained to be a military commander.,TRUE
The Giver,Lois Lowry,A dystopian novel about a society without emotions.,TRUE
Fahrenheit 451,Ray Bradbury,A dystopian novel about a future where books are banned.,TRUE
The Road,Cormac McCarthy,A post-apocalyptic novel about a father and son's journey.,TRUE
The Alchemist,Paulo Coelho,A novel about a young shepherd's journey to find treasure.,TRUE
Life of Pi,Yann Martel,A story about a boy's survival at sea with a Bengal tiger.,TRUE
The Girl with the Dragon Tattoo,Stieg Larsson,A thriller about a journalist and a hacker.,TRUE
The Da Vinci Code,Dan Brown,A mystery novel about a symbologist's quest to solve a murder.,TRUE
Angels and Demons,Dan Brown,A thriller about a symbologist's quest to stop a terrorist plot.,TRUE
The Kite Runner,Khaled Hosseini,A novel about friendship and redemption in Afghanistan.,TRUE
A Thousand Splendid Suns,Khaled Hosseini,A story about the lives of two women in Afghanistan.,TRUE
The Book Thief,Markus Zusak,A novel about a young girl in Nazi Germany.,TRUE
The Fault in Our Stars,John Green,A romance novel about two teenagers with cancer.,TRUE
Looking for Alaska,John Green,A novel about a young man's search for meaning.,TRUE
Paper Towns,John Green,A story about a boy's search for a missing girl.,TRUE
The Perks of Being a Wallflower,Stephen Chbosky,A novel about a teenager's struggle with depression.,TRUE
The Catcher in the Rye,J.D. Salinger,A story about a young man's journey through New York City.,TRUE
The Outsiders,S.E. Hinton,A novel about the struggles of a group of teenagers.,TRUE
Lord of the Flies,William Golding,A novel about a group of boys stranded on an island.,TRUE
Animal Farm,George Orwell,A dystopian novel about a group of farm animals.,TRUE
The Grapes of Wrath,John Steinbeck,A story about a family's journey during the Great Depression.,TRUE
